               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.016259,           0.0060393,           0.0016275,             0.99422,             0.99896,               0.995,             0.89471,            0.014479,           0.0034139,           0.0019281,             0.00307,             0.00307,             0.00307
                  37,            0.015632,           0.0061717,           0.0015917,             0.99541,             0.99852,               0.995,             0.90475,            0.013916,           0.0032831,           0.0018982,            0.002872,            0.002872,            0.002872
                  38,            0.015728,           0.0056723,           0.0016216,             0.99425,             0.99793,               0.995,             0.86647,            0.015823,           0.0034683,           0.0019127,            0.002674,            0.002674,            0.002674
                  39,            0.015153,           0.0058599,           0.0015961,             0.99269,              0.9984,               0.995,              0.8931,            0.014901,           0.0032974,           0.0019571,            0.002476,            0.002476,            0.002476
                  40,            0.015071,           0.0058878,           0.0015757,             0.99468,             0.99851,               0.995,             0.88744,            0.013644,           0.0031845,           0.0019433,            0.002278,            0.002278,            0.002278
                  41,            0.013753,            0.005431,           0.0014351,             0.99629,              0.9983,               0.995,             0.88237,            0.014002,           0.0031877,           0.0019226,             0.00208,             0.00208,             0.00208
                  42,            0.013935,           0.0054291,           0.0015621,             0.99442,             0.99768,               0.995,             0.90092,            0.013526,           0.0032985,           0.0019155,            0.001882,            0.001882,            0.001882
                  43,            0.013464,           0.0054369,           0.0014178,             0.99535,             0.99819,               0.995,             0.92158,            0.012445,           0.0031095,           0.0018757,            0.001684,            0.001684,            0.001684
                  44,            0.012604,           0.0051957,           0.0013818,              0.9946,             0.99917,               0.995,               0.916,            0.012631,           0.0029307,           0.0018051,            0.001486,            0.001486,            0.001486
                  45,             0.01279,           0.0054259,           0.0014271,             0.99671,                   1,               0.995,             0.91699,            0.012295,           0.0030329,           0.0017568,            0.001288,            0.001288,            0.001288
                  46,            0.012285,           0.0051301,           0.0013109,             0.99541,             0.99924,               0.995,             0.92311,            0.012267,           0.0029577,           0.0017564,             0.00109,             0.00109,             0.00109
                  47,            0.012208,            0.005167,           0.0015161,             0.99473,             0.99957,               0.995,             0.92529,            0.011803,           0.0028397,           0.0017278,            0.000892,            0.000892,            0.000892
                  48,             0.01164,            0.005187,            0.001373,             0.99289,                   1,               0.995,             0.93254,            0.011661,           0.0028037,           0.0016948,            0.000694,            0.000694,            0.000694
                  49,            0.011561,           0.0048603,           0.0014378,             0.99251,                   1,               0.995,             0.93239,            0.011262,           0.0027319,           0.0016653,            0.000496,            0.000496,            0.000496
